County,FIPS,White Under 15,White 15 to 19,White 20 to 24,White 25 to 29,White 30 to 34,White 35 to 39,White 40+,Black Under 15,Black 15 to 19,Black 20 to 24,Black 25 to 29,Black 30 to 34,Black 35 to 39,Black 40+,Asian Under 15,Asian 15 to 19,Asian 20 to 24,Asian 25 to 29,Asian 30 to 34,Asian 35 to 39,Asian 40+,Other Under 15,Other 15 to 19,Other 20 to 24,Other 25 to 29,Other 30 to 34,Other 35 to 39,Other 40+,Hispanic Under 15,Hispanic 15 to 19,Hispanic 20 to 24,Hispanic 25 to 29,Hispanic 30 to 34,Hispanic 35 to 39,Hispanic 40+
BOWIE,37,4389,1631,1433,1691,1767,1734,16405,2307,799,692,911,850,726,4972,63,19,41,27,46,49,275,593,122,117,100,58,72,524,918,246,234,223,175,171,737
BRAZORIA,39,13813,4799,4087,4881,5506,5960,46619,4632,1754,1486,1663,1712,2005,11822,2346,911,718,813,1008,1183,6654,1498,427,301,306,310,249,1260,14445,5061,4169,4201,4358,4657,19972
BRAZOS,41,7528,4340,15057,4986,3796,3365,24417,2447,1114,1657,1207,995,897,4882,848,463,1526,824,491,498,1824,741,241,603,260,177,114,495,7001,2909,5114,2542,2250,2109,8204
BREWSTER,43,234,69,75,92,126,139,1528,11,5,17,0,3,5,11,8,5,7,5,4,4,15,31,20,26,40,15,7,88,327,132,152,117,117,131,971
BRISCOE,45,66,17,17,19,20,25,300,1,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,44,13,10,8,18,11,107
BROOKS,47,40,11,12,14,11,14,171,1,0,0,0,0,2,0,1,0,0,0,0,0,0,6,0,0,1,0,4,2,673,216,197,160,177,167,1479
BROWN,49,1687,718,668,651,779,730,8272,141,111,57,39,34,23,242,11,0,2,5,7,6,48,80,41,47,22,16,11,165,963,470,370,303,332,342,1657
BURLESON,51,696,235,233,289,296,302,3523,180,92,66,99,68,62,561,1,0,0,0,0,0,5,65,6,5,5,8,4,68,559,171,162,153,127,124,772
BURNET,53,2149,924,781,963,862,924,12080,43,21,34,42,28,35,148,24,6,3,11,10,10,69,107,33,29,29,19,18,193,1581,556,487,429,367,426,2125
CALDWELL,55,916,417,482,489,544,514,5564,139,88,99,89,110,75,620,20,23,58,28,11,5,65,100,22,18,20,23,26,130,2796,1063,947,909,849,859,4780
CALHOUN,57,513,192,158,212,168,194,2586,47,14,12,10,14,8,122,70,43,23,31,23,37,193,31,8,6,6,4,5,40,1146,376,366,323,324,319,1968
CALLAHAN,59,885,329,253,304,344,364,3629,19,8,6,6,2,3,35,3,1,3,2,5,2,21,48,8,13,6,3,7,87,178,52,50,53,54,50,290
CAMERON,61,1895,831,650,712,648,721,12310,160,37,28,37,39,36,208,136,79,73,74,99,106,721,191,73,51,41,84,43,313,45034,16666,14527,13051,11181,10976,80927
CAMP,63,476,164,166,174,180,182,2165,191,71,62,68,51,57,591,4,1,3,2,0,3,4,81,18,10,16,10,9,42,513,189,135,134,114,88,398
CARSON,65,367,167,113,127,150,147,1361,6,0,4,3,4,0,2,0,4,0,0,0,0,3,12,5,5,1,3,3,34,75,24,23,15,18,15,145
CASS,67,1570,653,526,548,525,593,6670,419,149,166,163,125,123,1377,10,5,2,1,8,9,20,91,18,25,14,7,13,132,221,54,42,40,47,45,197
CASTRO,69,151,61,53,64,40,52,687,14,5,12,2,7,4,29,7,1,4,5,0,5,4,6,5,2,0,0,0,13,583,205,201,168,125,138,828
