County,ITOP Total,ITOP Asian,ITOP Hispanic,ITOP White,ITOP Black,ITOP Other,,,,,,,,,,
Shackelford,4,0,1,3,0,0,,,,,,,,,,
Shelby,28,0,7,8,11,2,,,,,,,,,,
Sherman,1,0,0,0,0,1,,,,,,,,,,
Smith,305,7,49,130,110,9,,,,,,,,,,
Somervell,7,0,3,3,0,1,,,,,,,,,,
Starr,54,0,38,16,0,0,,,,,,,,,,
Stephens,2,0,1,1,0,0,,,,,,,,,,
Sterling,1,0,1,0,0,0,,,,,,,,,,
Stonewall,1,0,0,1,0,0,,,,,,,,,,
Sutton,3,0,1,2,0,0,,,,,,,,,,
Swisher,1,0,1,0,0,0,,,,,,,,,,
Tarrant,"4,222",202,"1,153","1,056","1,750",61,,,,,,,,,,
Taylor,133,0,34,63,32,4,,,,,,,,,,
Terrell,5,0,2,2,1,0,,,,,,,,,,
Terry,0,0,0,0,0,0,,,,,,,,,,
Throckmorton,0,0,0,0,0,0,,,,,,,,,,
Titus,28,1,13,9,5,0,,,,,,,,,,
Tom Green,88,4,38,37,7,2,,,,,,,,,,
Travis,"3,340",218,"1,122","1,252",499,249,,,,,,,,,,
Trinity,8,0,2,5,1,0,,,,,,,,,,
Tyler,23,0,3,14,6,0,,,,,,,,,,
Upshur,14,0,2,7,4,1,,,,,,,,,,
Upton,3,0,3,0,0,0,,,,,,,,,,
Uvalde,37,0,21,15,0,1,,,,,,,,,,
Val Verde,64,0,38,25,1,0,,,,,,,,,,
Van Zandt,49,0,12,32,1,4,,,,,,,,,,
Victoria,116,1,54,39,20,2,,,,,,,,,,
Walker,103,3,14,33,52,1,,,,,,,,,,
Waller,90,3,23,28,36,0,,,,,,,,,,
Ward,2,0,0,2,0,0,,,,,,,,,,
Washington,42,2,10,13,17,0,,,,,,,,,,
Webb,296,0,230,58,5,3,,,,,,,,,,
Wharton,64,2,26,22,14,0,,,,,,,,,,
Wheeler,1,0,0,1,0,0,,,,,,,,,,
Wichita,100,3,36,30,28,3,,,,,,,,,,
Wilbarger,6,0,1,1,4,0,,,,,,,,,,
Willacy,18,0,11,7,0,0,,,,,,,,,,
Williamson,834,95,215,349,130,45,,,,,,,,,,
Wilson,60,0,34,22,1,3,,,,,,,,,,
Winkler,1,0,1,0,0,0,,,,,,,,,,
Wise,46,1,19,26,0,0,,,,,,,,,,
Wood,23,0,4,18,1,0,,,,,,,,,,
Yoakum,14,0,6,2,6,0,,,,,,,,,,
Young,8,0,1,7,0,0,,,,,,,,,,
Zapata,15,0,12,3,0,0,,,,,,,,,,
Zavala,17,0,14,3,0,0,,,,,,,,,,
Not Stated,1,0,0,0,1,0,,,,,,,,,,
Other Country,15,1,14,0,0,0,,,,,,,,,,
Other State,"1,061",42,83,363,558,15,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
